local_date_,Coordinate_Group_,Local_Time_Min,Max_Brightness,Mean_Brightness,Max_Confidence,Mean_Confidence,FRP,Day_Night,Time_Period,Total_Fire_Incidents,FRP_Bin
3/30/15,South-East,14:24:00,347.5,344.3,90,85.5,101.4,D,Afternoon,2,100-120
3/31/15,North-Central,11:51:00,342.7,341.75,93,92.5,52.3,D,Morning,2,40-60
3/31/15,South-East,13:29:00,337.7,337.7,87,87,109,D,Afternoon,1,100-120
4/1/15,North-Central,14:14:00,346.7,346.7,89,89,58.4,D,Afternoon,1,40-60
4/2/15,Central-Central,11:39:00,339.5,339.5,91,91,67.3,D,Morning,1,60-80
4/2/15,Central-East,11:39:00,333.5,333.3,86,85,31.4,D,Morning,2,20-40
4/2/15,North-Central,11:38:00,328.6,328.6,86,86,58.5,D,Morning,1,40-60
4/3/15,North-Central,12:21:00,342.9,329.925,92,85.5,56.5,D,Afternoon,8,40-60
4/8/15,Central-Central,14:19:00,328.1,328.1,83,83,19.4,D,Afternoon,1,0-20
4/8/15,Central-East,14:19:00,327.2,327.2,82,82,17.6,D,Afternoon,1,0-20
4/9/15,North-Central,11:44:00,333.7,328.35,88,84.75,39.6,D,Morning,4,20-40
4/9/15,South-East,13:23:00,335.7,335.7,81,81,78.2,D,Afternoon,1,60-80
4/10/15,North-Central,12:27:00,402,351.3833333333334,100,92.16666666666667,263.7,D,Afternoon,6,260-280
4/12/15,Central-Central,12:16:00,340.1,332.8333333333333,90,85.33333333333333,60.1,D,Afternoon,3,60-80
4/15/15,North-Central,14:27:00,325.3,325.3,83,83,27.7,D,Afternoon,1,20-40
4/16/15,Central-Central,11:51:00,338.3,338.3,89,89,34.9,D,Morning,1,20-40
4/18/15,North-Central,11:38:00,327.4,327.4,81,81,54.1,D,Morning,1,40-60
4/18/15,South-East,22:41:00,392.8,352.75714285714287,100,100,334.5,N,Night,7,320-340
4/19/15,North-Central,14:02:00,348.7,341.79999999999995,93,87.5,63.8,D,Afternoon,2,60-80
4/19/15,South-East,2:58:00,314.5,312.06666666666666,89,83.66666666666667,18.8,N,Early Morning,3,0-20
4/20/15,North-East,11:26:00,336.8,336.8,86,86,34.6,D,Morning,1,20-40
4/22/15,Central-East,11:14:00,344.2,344.2,91,91,164.4,D,Morning,1,160-180
4/22/15,North-Central,14:33:00,368,351.1,87,86.5,165.6,D,Afternoon,2,160-180
4/23/15,Central-Central,11:57:00,341.8,336.95000000000005,90,85.5,36.6,D,Morning,2,20-40
4/24/15,Central-Central,14:20:00,331.8,331.8,84,84,21.8,D,Afternoon,1,20-40
4/26/15,North-Central,14:08:00,331.3,331.3,82,82,23.7,D,Afternoon,1,20-40
4/27/15,South-East,11:33:00,428,412,100,100,598,D,Morning,2,580-600
4/28/15,North-East,13:55:00,349.1,346.25,93,91,47.7,D,Afternoon,2,40-60
4/28/15,South-East,13:54:00,370,348.6857142857143,100,90.28571428571429,117,D,Afternoon,7,100-120
4/29/15,North-East,11:20:00,371.7,361.6333333333334,100,98.66666666666667,313.3,D,Morning,3,300-320
4/30/15,Central-East,12:04:00,347.5,336.9,100,91.25,60.5,D,Afternoon,4,60-80
4/30/15,North-Central,12:03:00,330.2,330.2,81,81,16.8,D,Afternoon,1,0-20
4/30/15,South-East,12:04:00,369,363.3,100,99,208.8,D,Afternoon,2,200-220
5/4/15,Central-Central,11:39:00,343.6,339.5,92,89,75.3,D,Morning,2,60-80
5/5/15,Central-East,14:01:00,335.6,335.6,83,83,23.9,D,Afternoon,1,20-40
5/5/15,North-Central,14:02:00,342.6,342.6,91,91,42.4,D,Afternoon,1,40-60
5/9/15,Central-East,11:58:00,346.2,346.2,93,93,44.1,D,Morning,1,40-60
5/15/15,North-Central,14:38:00,330.8,330.8,84,84,38,D,Afternoon,1,20-40
5/18/15,Central-Central,22:55:00,350.6,338.35,100,100,92.1,N,Night,2,80-100
5/19/15,Central-Central,3:09:00,397.4,340.38,100,92,243.1,N,Early Morning,5,240-260
5/19/15,Central-East,14:12:00,343.6,341,88,87,34,D,Afternoon,2,20-40
5/23/15,Central-East,12:10:00,337.4,337.4,85,85,56.8,D,Afternoon,1,40-60
5/27/15,Central-Central,11:45:00,337.3,337.3,87,87,37.3,D,Morning,1,20-40
5/27/15,Central-East,11:46:00,357.4,349.79999999999995,98,92,66.9,D,Morning,2,60-80
6/1/15,Central-East,12:04:00,361.2,347.8,100,92,89.1,D,Afternoon,4,80-100
6/1/15,South-East,13:41:00,408.6,373.54,100,97.6,463.3,D,Afternoon,5,460-480
6/2/15,Central-Central,14:25:00,350.6,346.15,93,89,48,D,Afternoon,2,40-60
6/3/15,Central-East,11:52:00,343.6,342.7,88,87.33333333333333,33.6,D,Morning,3,20-40
6/3/15,South-East,22:54:00,340.1,333.45000000000005,100,100,46.8,N,Night,2,40-60
6/6/15,South-East,12:23:00,339.5,339.5,88,88,131.1,D,Afternoon,1,120-140
6/7/15,Central-East,11:28:00,347.1,347.1,90,90,64.6,D,Morning,1,60-80
6/7/15,South-East,22:29:00,314.7,314.7,90,90,23.1,N,Night,1,20-40
6/8/15,Central-Central,12:10:00,354.1,354.1,96,96,70.7,D,Afternoon,1,60-80
6/10/15,North-West,23:02:00,337.3,329.9142857142857,100,100,49.2,N,Night,7,40-60
6/11/15,Central-Central,14:19:00,349.2,349.2,92,92,36.1,D,Afternoon,1,20-40
6/11/15,North-West,3:15:00,339.8,326.02,98,91.6,31.8,N,Early Morning,5,20-40
6/11/15,South-East,22:05:00,313.9,313.04999999999995,88,86,84.3,N,Night,2,80-100
6/12/15,North-West,15:03:00,341.9,327.35,90,88,188.8,D,Afternoon,2,180-200
6/12/15,South-East,11:47:00,359.6,349.73333333333335,99,90.66666666666667,98.6,D,Morning,3,80-100
6/13/15,South-Central,12:29:00,341.3,337.65,85,85,132.1,D,Afternoon,2,120-140
6/15/15,Central-Central,12:17:00,375.8,353.56666666666666,100,90,185.8,D,Afternoon,3,180-200
6/15/15,South-East,13:53:00,350.8,348.75,92,90,42.2,D,Afternoon,2,40-60
6/16/15,Central-Central,14:37:00,343.1,343.1,87,87,39.3,D,Afternoon,1,20-40
6/16/15,North-Central,14:38:00,343.8,341.35,86,85.5,64,D,Afternoon,2,60-80
6/17/15,North-Central,12:03:00,375.7,353.875,100,92.625,158.9,D,Afternoon,8,140-160
6/17/15,South-East,13:41:00,500,387.2857142857143,100,97.71428571428571,1990.8,N,Night,14,1980-2000
6/18/15,Central-East,23:50:00,329.5,321.9,100,96.2,204.9,N,Night,5,200-220
6/18/15,North-Central,14:26:00,359.1,347.20000000000005,99,90,84,D,Afternoon,2,80-100
6/18/15,South-East,3:22:00,487.3,375.56813186813184,100,97.68131868131869,5949.4,D,Afternoon,91,5940-5960
6/19/15,Central-East,2:27:00,366.7,343.6666666666667,100,95.66666666666667,190.2,D,Early Morning,3,180-200
6/19/15,South-East,2:27:00,466.2,356.84375,100,97.32291666666667,1516.6,N,Night,96,1500-1520
6/20/15,North-East,23:39:00,365.2,333.73999999999995,100,99.4,396.4,N,Night,5,380-400
6/20/15,South-East,3:10:00,375.5,339.45625,100,92.8125,145.2,N,Early Morning,32,140-160
6/21/15,North-East,2:14:00,501.6,371.2527272727273,100,97.83636363636364,11944.2,D,Afternoon,55,11940-11960
6/21/15,South-East,2:15:00,500,358.9714285714286,100,95.67857142857143,1595,D,Morning,28,1580-1600
6/22/15,North-East,2:57:00,436.4,360.51724137931035,100,94.37931034482759,1261.4,D,Afternoon,29,1260-1280
6/22/15,South-East,2:58:00,390.9,355.6272727272727,100,95.31818181818181,271.1,D,Afternoon,22,260-280
6/23/15,North-East,22:31:00,312.3,311.8,84,83,39.4,N,Night,2,20-40
6/23/15,South-East,11:28:00,408.9,360.75925925925924,100,97.07407407407408,1741.4,D,Morning,27,1740-1760
6/24/15,North-East,12:10:00,392.6,358.075,100,99.5,331.6,D,Afternoon,8,320-340
6/24/15,South-East,2:46:00,503.5,375.73972602739724,100,97.32876712328768,2159.2,D,Afternoon,73,2140-2160
6/25/15,North-East,3:27:00,376.6,341.45,100,95.8,263.8,N,Night,10,260-280
6/25/15,South-East,3:28:00,500,374.275,100,96.63095238095238,3865.3,D,Morning,84,3860-3880
6/26/15,Central-Central,23:02:00,317.6,314.95000000000005,95,90,15.1,N,Night,2,0-20
6/26/15,North-East,2:32:00,346.1,332.44,100,89.8,55.9,D,Morning,5,40-60
6/26/15,South-East,2:33:00,314.6,314.6,90,90,18.6,N,Early Morning,1,0-20
6/29/15,South-Central,12:29:00,401.9,372.02,100,95.4,286,D,Afternoon,5,280-300
6/30/15,South-East,22:36:00,312.9,312.9,86,86,11.2,N,Night,1,0-20
7/2/15,South-East,11:22:00,361.3,347.225,100,88,172.8,D,Morning,4,160-180
7/3/15,South-Central,13:42:00,346.8,346.8,86,86,159,D,Afternoon,1,140-160
7/3/15,South-East,13:41:00,340.9,340.9,86,86,27.7,D,Afternoon,1,20-40
7/4/15,South-East,11:10:00,374.9,365.5,100,98,211.4,D,Morning,3,200-220
7/5/15,North-Central,11:51:00,330,330,86,86,40.5,D,Morning,1,40-60
