Date,Temperature_Max,Relative_Humidity,Precipitation,Wind_Speed,Surface Soil Wetness,Root Zone Soil Wetness,Coordinate_Group_,Local_Time_Min,Max_Brightness,Mean_Brightness,Max_Confidence,Mean_Confidence,FRP,Day_Night,Time_Period,Total_Fire_Incidents,FRP_Bin,Fire_Recorded
1/1/15,9.37,43.38,0,2.54,0.56,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/2/15,9.87,49,0,1.73,0.56,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/3/15,11.43,53,0,1.6,0.56,0.59,South-East,10:46:00,328.5,328.5,86,86,37.4,D,Morning,1,20-40,1
1/4/15,14.44,55.62,0,1.7,0.56,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/5/15,19.9,53.69,0,2.07,0.56,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/6/15,22.22,50.94,0,2.3,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/7/15,22.19,54.31,0,2.12,0.55,0.59,North-Central,13:37:00,322.2,321.79999999999995,81,81,28.3,D,Afternoon,2,20-40,1
1/8/15,19.25,48.19,0,1.84,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/9/15,15.05,61.75,0,1.59,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/10/15,14.13,73.06,0,1.56,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/11/15,15.27,79.5,0.03,1.73,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/12/15,13.15,84.69,0,1.8,0.55,0.59,North-Central,13:56:00,322.6,322.6,82,82,140,D,Afternoon,1,140-160,1
1/12/15,13.15,84.69,0,1.8,0.55,0.59,South-East,21:41:00,311,311,81,81,15.7,N,Night,1,0-20,1
1/13/15,15.62,56.44,0,2.31,0.55,0.58,North-Central,13:01:00,332.2,326.96666666666664,88,84.66666666666667,40.3,D,Afternoon,3,40-60,1
1/13/15,15.62,56.44,0,2.31,0.55,0.58,South-East,12:59:00,357.4,345.1,99,90.5,77.1,D,Afternoon,4,60-80,1
1/14/15,15.86,41.94,0,2.12,0.55,0.58,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/15/15,16.05,38.88,0,1.91,0.55,0.58,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/16/15,17.7,44.06,0,1.77,0.55,0.58,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/17/15,18.05,58,0,1.77,0.55,0.58,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/18/15,19.1,45.94,0,1.51,0.54,0.57,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/19/15,17.72,49.44,0,1.83,0.54,0.57,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/20/15,13.19,61.44,0,1.68,0.54,0.57,South-East,13:05:00,351.4,343.8666666666666,96,92.66666666666669,82,D,Afternoon,3,80-100,1
1/21/15,16.75,48.88,0,2.3,0.54,0.57,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/22/15,15.85,38.38,0,2.01,0.54,0.57,North-Central,12:56:00,358.1,358.1,91,91,105.4,D,Afternoon,1,100-120,1
1/23/15,19.07,45.06,0,2.16,0.53,0.56,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/24/15,21.55,34.81,0,2.91,0.52,0.56,North-Central,22:07:00,314.6,314.6,90,90,14.9,N,Night,1,0-20,1
1/24/15,21.55,34.81,0,2.91,0.52,0.56,South-East,22:06:00,324.2,324.2,100,100,26.4,N,Night,1,20-40,1
1/25/15,23.87,42.44,0,2.94,0.52,0.56,North-Central,13:26:00,330,330,87,87,28.1,D,Afternoon,1,20-40,1
1/26/15,22.03,54.94,0.1,2.24,0.52,0.55,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/27/15,12.58,82.69,3.14,1.52,0.55,0.56,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/28/15,16.94,63.31,0.01,1.85,0.53,0.56,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/29/15,17.33,58,0,2.03,0.53,0.56,North-Central,11:21:00,344.7,334.29999999999995,94,88.5,66.6,D,Morning,2,60-80,1
1/30/15,16.15,65.19,0,1.78,0.53,0.55,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/31/15,18.56,49.19,0,2.27,0.52,0.55,Central-East,12:48:00,393.3,393.3,87,87,223.8,D,Afternoon,1,220-240,1
2/1/15,19.68,36.06,0,1.94,0.52,0.55,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/2/15,20.19,40.38,0,1.61,0.52,0.55,South-East,10:58:00,331.6,331.6,86,86,53.8,D,Morning,1,40-60,1
2/3/15,21.16,37.44,0,1.79,0.52,0.55,South-East,13:18:00,339.1,334.75,89,85.5,69.9,D,Afternoon,2,60-80,1
2/4/15,22.98,31.56,0,1.68,0.52,0.55,South-East,10:46:00,356.6,333.25,98,87.5,163.9,D,Afternoon,4,160-180,1
2/5/15,21.36,41.75,0,2.67,0.52,0.55,Central-East,13:07:00,357.4,348.1666666666667,99,95,80.3,D,Afternoon,3,80-100,1
2/5/15,21.36,41.75,0,2.67,0.52,0.55,North-Central,11:27:00,376.1,347.25,100,93.33333333333331,374,D,Morning,6,360-380,1
2/5/15,21.36,41.75,0,2.67,0.52,0.55,South-East,13:05:00,352.3,342.05,96,89,67.8,D,Afternoon,2,60-80,1
2/6/15,19.43,45.19,1.25,3.38,0.52,0.55,Central-Central,10:33:00,326.7,326.7,83,83,44.8,D,Morning,1,40-60,1
2/6/15,19.43,45.19,1.25,3.38,0.52,0.55,Central-East,21:36:00,349.7,349.7,100,100,128.8,N,Night,1,120-140,1
2/6/15,19.43,45.19,1.25,3.38,0.52,0.55,South-East,10:33:00,374.2,355.3666666666666,100,95.33333333333331,129.7,D,Morning,3,120-140,1
2/7/15,15.36,83.62,30.24,2.62,0.66,0.59,South-East,12:53:00,347.4,347.4,93,93,45.5,D,Afternoon,1,40-60,1
2/8/15,17.64,83.56,14.49,3.38,0.61,0.6,South-East,10:21:00,383.6,383.6,100,100,177.4,D,Morning,1,160-180,1
2/9/15,16.12,72.81,0.57,1.84,0.59,0.62,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/10/15,18.01,49.12,0,1.82,0.58,0.61,Central-East,13:25:00,329.4,326.7,85,83,35.7,D,Afternoon,2,20-40,1
2/10/15,18.01,49.12,0,1.82,0.58,0.61,South-East,10:09:00,337.1,333.35,88,84.5,62.5,D,Morning,2,60-80,1
2/11/15,20.46,42.12,0,2.22,0.58,0.61,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/12/15,22.73,46.38,0,2.22,0.57,0.6,South-East,13:12:00,372.2,372.2,100,100,166.7,D,Afternoon,1,160-180,1
2/13/15,22.8,44.19,0,2.22,0.57,0.6,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/14/15,22.52,44.19,0,1.91,0.56,0.6,South-East,12:59:00,381,371.6,100,100,152.3,D,Afternoon,2,140-160,1
2/15/15,23.92,46.44,0,2.08,0.56,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/16/15,21.79,48.81,0,1.98,0.55,0.59,North-East,12:48:00,326.3,325.9,84,84,24.8,D,Afternoon,2,20-40,1
2/17/15,19.44,55.44,0,1.99,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/18/15,20.96,55.56,0,1.81,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/19/15,20.14,53.44,0,2.05,0.55,0.59,North-West,13:20:00,330.9,330.9,87,87,29.4,D,Afternoon,1,20-40,1
2/20/15,20.57,54.56,0,1.85,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/21/15,14.99,69,0.02,1.66,0.55,0.58,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/22/15,9.7,78.81,10.23,1.54,0.59,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/23/15,9.47,66.25,4.08,1.7,0.59,0.6,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/24/15,16.75,42.81,0,2.42,0.56,0.6,Central-Central,13:37:00,336.6,335,89,88.5,66.7,D,Afternoon,2,60-80,1
2/24/15,16.75,42.81,0,2.42,0.56,0.6,North-Central,13:38:00,325.6,325.6,84,84,50.7,D,Afternoon,1,40-60,1
2/25/15,18.78,49.31,0,1.91,0.56,0.59,Central-East,11:04:00,323.9,323.9,82,82,26.6,D,Morning,1,20-40,1
2/25/15,18.78,49.31,0,1.91,0.56,0.59,North-Central,11:03:00,350.2,337.2,96,89.5,68.8,D,Morning,2,60-80,1
2/25/15,18.78,49.31,0,1.91,0.56,0.59,South-East,11:04:00,355.2,339.35,98,89.5,147.8,D,Morning,4,140-160,1
2/26/15,18.12,61.5,0,1.96,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/27/15,11.66,85.25,0.92,2.09,0.56,0.59,North-Central,12:31:00,331.4,329.2,87,86,185.1,D,Afternoon,3,180-200,1
2/28/15,7.72,82.38,1.06,1.55,0.56,0.59,Central-East,13:12:00,329.9,329.9,87,87,27.2,D,Afternoon,1,20-40,1
3/1/15,10.73,72.56,1.87,1.41,0.56,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
3/2/15,7.26,81.81,3.2,1.16,0.57,0.59,Central-East,13:00:00,329.9,329.9,87,87,30.6,D,Afternoon,1,20-40,1
3/3/15,12.35,68.69,0.05,2.15,0.56,0.59,Central-Central,13:43:00,339.9,339.9,92,92,112.3,D,Afternoon,1,100-120,1
3/3/15,12.35,68.69,0.05,2.15,0.56,0.59,North-Central,13:44:00,337.3,337.3,90,90,83.7,D,Afternoon,1,80-100,1
3/4/15,14.4,48.44,0,2.45,0.55,0.59,Central-Central,12:48:00,338.6,338.6,91,91,84.5,D,Afternoon,1,80-100,1
3/4/15,14.4,48.44,0,2.45,0.55,0.59,Central-East,11:09:00,321,321,81,81,26.1,D,Morning,1,20-40,1
3/4/15,14.4,48.44,0,2.45,0.55,0.59,North-Central,12:49:00,333.2,328.65,88,85.5,65.7,D,Afternoon,4,60-80,1
3/5/15,18.02,38.56,0,2.13,0.55,0.59,North-Central,13:32:00,347.7,331.26666666666665,95,86.33333333333333,65.4,D,Afternoon,3,60-80,1
3/6/15,21.69,34.75,0,2.12,0.55,0.59,South-East,10:57:00,382.1,363.8333333333333,100,97,321.2,D,Morning,3,320-340,1
3/7/15,22.02,35.44,0,2.3,0.55,0.58,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
3/8/15,21.08,43.25,0,2.23,0.54,0.58,South-East,1:21:00,314.9,314.9,90,90,23.7,N,Early Morning,1,20-40,1
3/9/15,22.97,38.81,0,2.54,0.54,0.58,North-Central,12:27:00,364.1,335.77272727272725,100,87.72727272727273,102.8,D,Afternoon,11,100-120,1
3/9/15,22.97,38.81,0,2.54,0.54,0.58,North-East,14:07:00,334.3,334.3,86,86,25,D,Afternoon,1,20-40,1
3/10/15,22.62,35.38,0,2.08,0.54,0.57,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
3/11/15,13.94,67.75,0.36,1.81,0.54,0.57,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
3/12/15,22.97,53.94,0.01,1.87,0.53,0.57,North-Central,14:38:00,334.9,330.1,89,86,55.2,D,Afternoon,2,40-60,1
3/13/15,24.23,44.25,0,2.37,0.53,0.56,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
3/14/15,24.08,37.88,0,2,0.52,0.56,North-Central,14:25:00,348.4,348.4,89,89,61.1,D,Afternoon,1,60-80,1
3/15/15,23.84,41.25,0,1.98,0.52,0.56,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
3/16/15,22.1,45.5,0,1.96,0.52,0.55,Central-Central,14:13:00,324.9,324.9,83,83,17.6,D,Afternoon,1,0-20,1
3/16/15,22.1,45.5,0,1.96,0.52,0.55,Central-East,14:12:00,332.2,330.2,85,83.75,21.7,D,Afternoon,4,20-40,1
3/17/15,17.85,60.31,0,1.45,0.52,0.55,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
3/18/15,19.85,62,0.04,1.78,0.52,0.55,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
3/19/15,24.98,40.12,0,2.39,0.52,0.55,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
3/20/15,22.49,35.19,0,1.73,0.52,0.55,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
3/21/15,20.14,41.62,0,1.73,0.52,0.55,North-Central,12:52:00,336.7,327.53333333333336,90,84.66666666666667,110.3,D,Afternoon,3,100-120,1
3/22/15,18.23,65.44,0.17,1.77,0.52,0.54,Central-Central,11:57:00,321.3,321.3,81,81,17.7,D,Morning,1,0-20,1
3/22/15,18.23,65.44,0.17,1.77,0.52,0.54,North-Central,11:57:00,334.8,334.8,84,84,32.7,D,Morning,1,20-40,1
3/23/15,16.94,66.5,0.02,2.23,0.51,0.54,North-Central,14:19:00,337.3,337.3,90,90,36.6,D,Afternoon,1,20-40,1
3/24/15,17.95,63.94,0,2.71,0.51,0.54,Central-Central,11:45:00,328.1,328.1,85,85,31.3,D,Morning,1,20-40,1
3/24/15,17.95,63.94,0,2.71,0.51,0.54,Central-East,11:45:00,345.4,336.575,93,88.25,48.7,D,Morning,4,40-60,1
3/25/15,22.43,53.88,0,2.35,0.51,0.54,North-East,12:27:00,329.9,329.9,85,85,70.6,D,Afternoon,1,60-80,1
3/26/15,24.9,42.31,0,2.58,0.5,0.53,North-East,11:32:00,342.1,336.5,86,85,179.2,D,Morning,2,160-180,1
3/27/15,26.58,36,0,1.88,0.5,0.53,North-Central,12:15:00,347.1,336.7,94,88.4,83.3,D,Afternoon,5,80-100,1
3/28/15,25.35,42.31,0,2.16,0.49,0.52,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
3/29/15,25.78,42.31,0,2.28,0.49,0.52,Central-Central,12:04:00,404.6,353.2166666666667,100,90.33333333333331,291.3,D,Afternoon,6,280-300,1
3/29/15,25.78,42.31,0,2.28,0.49,0.52,Central-East,12:04:00,338.7,335.26666666666665,87,84.66666666666667,38.5,D,Afternoon,3,20-40,1
3/29/15,25.78,42.31,0,2.28,0.49,0.52,North-Central,12:03:00,367.7,343.575,100,90.25,146.7,D,Afternoon,4,140-160,1
3/30/15,26.68,38.38,0,2.45,0.49,0.52,Central-Central,14:25:00,335.7,335.7,88,88,32.9,D,Afternoon,1,20-40,1
3/30/15,26.68,38.38,0,2.45,0.49,0.52,South-East,14:24:00,347.5,344.3,90,85.5,101.4,D,Afternoon,2,100-120,1
3/31/15,21.6,41.69,0,2.47,0.49,0.52,North-Central,11:51:00,342.7,341.75,93,92.5,52.3,D,Morning,2,40-60,1
3/31/15,21.6,41.69,0,2.47,0.49,0.52,South-East,13:29:00,337.7,337.7,87,87,109,D,Afternoon,1,100-120,1
4/1/15,18.24,41.94,0,2.39,0.49,0.52,North-Central,14:14:00,346.7,346.7,89,89,58.4,D,Afternoon,1,40-60,1
4/2/15,18.87,43.69,0,2.65,0.48,0.52,Central-Central,11:39:00,339.5,339.5,91,91,67.3,D,Morning,1,60-80,1
4/2/15,18.87,43.69,0,2.65,0.48,0.52,Central-East,11:39:00,333.5,333.3,86,85,31.4,D,Morning,2,20-40,1
4/2/15,18.87,43.69,0,2.65,0.48,0.52,North-Central,11:38:00,328.6,328.6,86,86,58.5,D,Morning,1,40-60,1
4/3/15,19.9,32.5,0,2.34,0.48,0.51,North-Central,12:21:00,342.9,329.925,92,85.5,56.5,D,Afternoon,8,40-60,1
4/4/15,20.06,34.69,0,2.25,0.48,0.51,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
4/5/15,14.37,60,0.07,2.16,0.48,0.51,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
4/6/15,12.58,60.44,0,1.59,0.48,0.51,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
4/7/15,9.01,76.44,10.48,3.28,0.54,0.52,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
4/8/15,14.23,62.69,0.16,2.3,0.51,0.52,Central-Central,14:19:00,328.1,328.1,83,83,19.4,D,Afternoon,1,0-20,1
4/8/15,14.23,62.69,0.16,2.3,0.51,0.52,Central-East,14:19:00,327.2,327.2,82,82,17.6,D,Afternoon,1,0-20,1
4/9/15,15.94,39.62,0,2.24,0.49,0.52,North-Central,11:44:00,333.7,328.35,88,84.75,39.6,D,Morning,4,20-40,1
4/9/15,15.94,39.62,0,2.24,0.49,0.52,South-East,13:23:00,335.7,335.7,81,81,78.2,D,Afternoon,1,60-80,1
4/10/15,19.74,38.56,0,2.38,0.49,0.52,North-Central,12:27:00,402,351.3833333333334,100,92.16666666666669,263.7,D,Afternoon,6,260-280,1
4/11/15,20.35,47.69,0,2.7,0.48,0.52,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
4/12/15,24.27,44.69,0,2.22,0.48,0.51,Central-Central,12:16:00,340.1,332.8333333333333,90,85.33333333333333,60.1,D,Afternoon,3,60-80,1
4/13/15,25.02,38.75,0,2.5,0.48,0.51,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
4/14/15,17.73,45.31,0,2.82,0.48,0.51,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
4/15/15,21.15,28.19,0,3.12,0.48,0.5,North-Central,14:27:00,325.3,325.3,83,83,27.7,D,Afternoon,1,20-40,1
4/16/15,22.48,27.94,0,3.12,0.47,0.5,Central-Central,11:51:00,338.3,338.3,89,89,34.9,D,Morning,1,20-40,1
4/17/15,23.9,31.75,0,2.66,0.46,0.5,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
4/18/15,25.54,32.38,0,2.52,0.45,0.49,North-Central,11:38:00,327.4,327.4,81,81,54.1,D,Morning,1,40-60,1
4/18/15,25.54,32.38,0,2.52,0.45,0.49,South-East,22:41:00,392.8,352.75714285714287,100,100,334.5,N,Night,7,320-340,1
4/19/15,26.26,35.12,0.06,2.64,0.44,0.49,North-Central,14:02:00,348.7,341.79999999999995,93,87.5,63.8,D,Afternoon,2,60-80,1
4/19/15,26.26,35.12,0.06,2.64,0.44,0.49,South-East,2:58:00,314.5,312.06666666666666,89,83.66666666666667,18.8,N,Early Morning,3,0-20,1
4/20/15,26,43.81,0.08,2.44,0.43,0.49,North-East,11:26:00,336.8,336.8,86,86,34.6,D,Morning,1,20-40,1
4/21/15,21.18,60.31,0.01,1.95,0.42,0.49,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
4/22/15,21.07,64.88,0.25,1.69,0.42,0.49,Central-East,11:14:00,344.2,344.2,91,91,164.4,D,Morning,1,160-180,1
4/22/15,21.07,64.88,0.25,1.69,0.42,0.49,North-Central,14:33:00,368,351.1,87,86.5,165.6,D,Afternoon,2,160-180,1
4/23/15,18.44,68.5,1.88,2.08,0.43,0.49,Central-Central,11:57:00,341.8,336.95000000000005,90,85.5,36.6,D,Morning,2,20-40,1
4/24/15,16.67,64.06,1.45,2.23,0.45,0.49,Central-Central,14:20:00,331.8,331.8,84,84,21.8,D,Afternoon,1,20-40,1
4/25/15,13.5,75.81,15.56,2.26,0.55,0.51,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
4/26/15,20.95,55.75,0.05,2.75,0.49,0.52,North-Central,14:08:00,331.3,331.3,82,82,23.7,D,Afternoon,1,20-40,1
4/27/15,26.73,36.12,0.07,2.84,0.48,0.51,South-East,11:33:00,428,412,100,100,598,D,Morning,2,580-600,1
4/28/15,26.83,36.62,0,2.4,0.48,0.51,North-East,13:55:00,349.1,346.25,93,91,47.7,D,Afternoon,2,40-60,1
4/28/15,26.83,36.62,0,2.4,0.48,0.51,South-East,13:54:00,370,348.6857142857143,100,90.28571428571428,117,D,Afternoon,7,100-120,1
4/29/15,26.83,42.38,0,2.05,0.47,0.51,North-East,11:20:00,371.7,361.6333333333334,100,98.66666666666669,313.3,D,Morning,3,300-320,1
4/30/15,26.89,37.25,0.01,2.01,0.46,0.5,Central-East,12:04:00,347.5,336.9,100,91.25,60.5,D,Afternoon,4,60-80,1
4/30/15,26.89,37.25,0.01,2.01,0.46,0.5,North-Central,12:03:00,330.2,330.2,81,81,16.8,D,Afternoon,1,0-20,1
4/30/15,26.89,37.25,0.01,2.01,0.46,0.5,South-East,12:04:00,369,363.3,100,99,208.8,D,Afternoon,2,200-220,1
5/1/15,28.16,33.19,0,2.51,0.45,0.5,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/2/15,25.26,28.81,0,2.68,0.43,0.5,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/3/15,24.36,30.81,0.03,2.52,0.42,0.49,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/4/15,24.3,42.31,0.03,2.23,0.41,0.49,Central-Central,11:39:00,343.6,339.5,92,89,75.3,D,Morning,2,60-80,1
5/5/15,22.67,40.69,0.02,2.18,0.41,0.49,Central-East,14:01:00,335.6,335.6,83,83,23.9,D,Afternoon,1,20-40,1
5/5/15,22.67,40.69,0.02,2.18,0.41,0.49,North-Central,14:02:00,342.6,342.6,91,91,42.4,D,Afternoon,1,40-60,1
5/6/15,20.23,44.19,0,2.2,0.41,0.49,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/7/15,11,68.12,3.23,2.67,0.43,0.49,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/8/15,14.01,71.31,4.35,1.6,0.46,0.49,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/9/15,22.21,57.31,0.16,2.33,0.45,0.5,Central-East,11:58:00,346.2,346.2,93,93,44.1,D,Morning,1,40-60,1
5/10/15,24.57,34.12,0,2.3,0.43,0.49,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/11/15,22.6,37.94,0,2.28,0.42,0.49,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/12/15,18.8,43.62,0,2.12,0.41,0.49,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/13/15,16.22,42.56,0,1.82,0.41,0.49,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/14/15,10.35,75.75,4.36,1.69,0.45,0.49,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/15/15,14.58,72.69,1.54,2.23,0.49,0.5,North-Central,14:38:00,330.8,330.8,84,84,38,D,Afternoon,1,20-40,1
5/16/15,19.44,60.81,0.35,2.2,0.47,0.5,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/17/15,16.37,64.94,1.45,1.91,0.47,0.49,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/18/15,17.65,58.38,1.98,1.99,0.48,0.5,Central-Central,22:55:00,350.6,338.35,100,100,92.1,N,Night,2,80-100,1
5/19/15,19.55,59.31,1.05,1.97,0.46,0.5,Central-Central,3:09:00,397.4,340.38,100,92,243.1,N,Early Morning,5,240-260,1
5/19/15,19.55,59.31,1.05,1.97,0.46,0.5,Central-East,14:12:00,343.6,341,88,87,34,D,Afternoon,2,20-40,1
5/20/15,19.26,61.62,1.16,1.94,0.46,0.5,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/21/15,17,65.19,1.45,1.79,0.46,0.5,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/22/15,14.58,77.06,2.44,2.26,0.47,0.5,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/23/15,18.2,74.5,1.97,2.02,0.47,0.5,Central-East,12:10:00,337.4,337.4,85,85,56.8,D,Afternoon,1,40-60,1
5/24/15,23.1,58.88,0.23,2.27,0.45,0.5,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/25/15,24.76,50.62,0,2.08,0.44,0.5,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/26/15,26.14,45.5,0.02,2.38,0.42,0.49,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/27/15,27.64,41.62,0.19,2.3,0.41,0.49,Central-Central,11:45:00,337.3,337.3,87,87,37.3,D,Morning,1,20-40,1
5/27/15,27.64,41.62,0.19,2.3,0.41,0.49,Central-East,11:46:00,357.4,349.79999999999995,98,92,66.9,D,Morning,2,60-80,1
5/28/15,27.82,32.06,0.09,2.22,0.4,0.49,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/29/15,30.61,28,0,2.46,0.39,0.48,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/30/15,32.74,25.25,0,2.09,0.38,0.48,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
5/31/15,31.5,29,0,2.73,0.37,0.48,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
6/1/15,25.46,37.75,0,2.34,0.37,0.48,Central-East,12:04:00,361.2,347.8,100,92,89.1,D,Afternoon,4,80-100,1
6/1/15,25.46,37.75,0,2.34,0.37,0.48,South-East,13:41:00,408.6,373.54,100,97.6,463.3,D,Afternoon,5,460-480,1
6/2/15,25.83,42.5,0,2.52,0.37,0.48,Central-Central,14:25:00,350.6,346.15,93,89,48,D,Afternoon,2,40-60,1
6/3/15,25.93,42.19,0,2.48,0.36,0.48,Central-East,11:52:00,343.6,342.7,88,87.33333333333333,33.6,D,Morning,3,20-40,1
6/3/15,25.93,42.19,0,2.48,0.36,0.48,South-East,22:54:00,340.1,333.45000000000005,100,100,46.8,N,Night,2,40-60,1
6/4/15,22.88,46.75,0.68,1.99,0.36,0.48,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
6/5/15,26.04,44.06,0.52,2.16,0.36,0.48,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
6/6/15,26.72,45.62,0.67,2.23,0.36,0.48,South-East,12:23:00,339.5,339.5,88,88,131.1,D,Afternoon,1,120-140,1
6/7/15,30.89,37.25,0.08,2.39,0.36,0.48,Central-East,11:28:00,347.1,347.1,90,90,64.6,D,Morning,1,60-80,1
6/7/15,30.89,37.25,0.08,2.39,0.36,0.48,South-East,22:29:00,314.7,314.7,90,90,23.1,N,Night,1,20-40,1
